Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
C1,C_0402_1005Metric,2.8,17,T,180,0.1uF
C2,C_0402_1005Metric,2.8,18,T,180,0.1uF
C3,C_0402_1005Metric,7.28,8.15,T,-90,0.1uF
C4,C_0402_1005Metric,8.45,2.1,T,0,1uF
C5,C_0402_1005Metric,5.35,4.05,T,-90,22pF
C6,C_0603_1608Metric,3.35,3.75,T,180,2.2uF
C7,C_0603_1608Metric,3.35,6.75,T,180,10uF
C8,C_0402_1005Metric,2.55,8.45,T,-90,1uF
C9,C_0402_1005Metric,6.3,8.15,T,-90,1uF
C10,C_0402_1005Metric,2.8,16,T,180,1uF
C11,C_0402_1005Metric,5,18.45,T,0,1uF
C12,C_0402_1005Metric,-0.7,14.8,T,180,0.1uF
C13,C_0603_1608Metric,-0.85,12.8,T,-90,2.2uF
C14,C_0402_1005Metric,3.55,8.45,T,-90,0.1uF
C16,C_0603_1608Metric,3.35,5.25,T,180,10uF
C17,C_0402_1005Metric,8.28,8.15,T,-90,0.1uF
C18,C_0402_1005Metric,7.6,19,T,0,1uF
D1,D_SOD-323,70.4,3,T,-90,1N4007
D2,D_SOD-323,77.15,23.05,T,90,1N4007
D3,D_SOD-323,2.85,20.15,T,90,1N4007
Q1,SOT-23,73.4,5.95,T,0,AO3400A
Q2,SOT-23,69.45,21.8,T,180,AO3400A
R1,C_0402_1005Metric,0.35,16.5,T,-90,27R
R2,C_0402_1005Metric,1.35,16.5,T,-90,27R
R3,C_0402_1005Metric,-1.1,10.35,T,-90,1k
R4,C_0402_1005Metric,13.35,14.25,T,90,1k
R5,R_0603_1608Metric,69.9,10,T,180,100R
R6,R_0603_1608Metric,69.9,14.65,T,180,12k
R7,R_0603_1608Metric,69.9,16.2,T,0,15k
R8,R_0603_1608Metric,69.9,6.95,T,0,100R
R9,R_0603_1608Metric,69.9,17.75,T,0,100R
R10,R_0603_1608Metric,69.9,11.55,T,180,12k
R11,R_0603_1608Metric,69.9,13.1,T,0,15k
R12,R_0603_1608Metric,69.9,5.4,T,180,100k
R13,R_0603_1608Metric,69.9,19.3,T,0,100k
R14,R_0402_1005Metric,6.35,4.05,T,90,9.1k
R15,R_0402_1005Metric,5.85,2.6,T,0,4.7k
R16,R_0603_1608Metric,9.7,7.6,T,-90,10k
R17,R_0603_1608Metric,11.2,7.6,T,-90,10k
R18,R_0603_1608Metric,12.7,7.6,T,-90,10k
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,15.1,13.5,T,-90,12MHZ
U2,RP2040-QFN-56,8.18,13.8,T,90,RP2040
U3,w25q16jv,1.08,12.09,T,90,w25q16jv
U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,8.2,3.9,T,0,TPS73501
U5,MAX44009,-10.56,17.99,B,0,MAX44009
